Cephalolobidae,1
Tianyuprosbole,2
Verticiplagia,12
Loboquintus,2
Gymnocarpon,1
Eozonella,4
Obscuromelleae,1
Epidorchis,44
Coriobacteridae,1
Minibrachium,1
Nastinae,1
Boualitomus,2
Prostominiinae,1
Apozia,4
Benhamiini,1
Trachyleberidini,1
Sclepsion,2
Antarctotetilla,5
Kurtzamra,2
Uperogonalia,2
Longirostres,1
Limoniidae,1
Rhingiini,1
Trichodactylidae,1
Passerides,1
Reidus,2
Clastidiaceae,1
Plutoniumidae,1
Neuberia,7
Siphoviridae,1
Auluroidea,1
Hugenholtzia,2
Alaticaulia,134
Hippoidea,1
Aliiglaciecola,5
Thyriosomidae,1
Neves-Armondia,1
Claritacarpus,2
Urocordylidae,1
Coreoidea,1
Eucorethrinae,1
Stenocopiinae,1
Lactariopsidei,1
Diplocnema,1
Neopseudocercospora,3
Lapidaster,11
Tettigoides,2
Plutonasterinae,1
Incaniformia,1
Oligophus,1
Boreonectes,9
Cyathophyllina,1
Fryxellodontidae,1
Culicosporellidae,1
Langbianella,3
Borjae,1
Ceratodoryctes,5
Parelateriformius,5
Maeraceterus,3
Arthrosia,16
Heistera,62
Jidapterus,2
Dionysae,1
Sinofranchetieae,1
Ornithomimipus,6
Hygyops,6
Tsukubamonadidae,1
Palaeogoniatitinae,1
Archisialidae,1
Parthenostachys,3
Frydacosta,2
Andinocleome,4
Flacourta,2
Sarraceniaceae,1
Leiocopa,1
Ephemeroideae,1
Neolinguatula,2
Yuchengia,2
Triodallus,2
Galiopsis,2
Ascapseudoptynx,2
Paracleodoxus,3
Salinirubrum,2
Cycloneuroterus,15
Megaloprason,1
Afrocastellanoa,2
Austrocynips,1
Albipes,1
Karusasaurus,3
Panicinae,1
Helipteridium,1
Gelidea,3
Sinoditomyiinae,1
Stellettidae,1
Cosson,1
Stenosraicra,1
Monodontini,1
Oncophoroideae,1
Camacum,1
Macroxyelinae,1
Polygonaceae,1
Lavareda,2
Piezodorini,1
Paraboeremia,4
Spatiatoridae,1
Priorparagia,2
Ihleini,1
Genyophryninae,1
Partisaniidae,1
Heliothinae,1
Zingiberoideae,1
Coptopsyllidae,1
Lasiophthalma,1
Caledoneurus,2
Leuenbergeria,9
Amphiorycteropus,2
Gigatitan,6
Forbesiceridae,1
Unaysaurus,2
Borgenia,1
Operophterini,1
Rhabdobacter,2
Meloidogynidae,1
Aturioidea,1
Rubidginoidea,1
Trechmannellidae,1
Parvavis,2
Zosterophyllanthos,190
Ctenoloculinidae,1
Galbuliformes,1
Eustreptopogon,1
Diphylleiida,1
Gonioctenina,1
Centrogyne,2
Palaeophreatoicidae,1
Stenotyla,10
Mamulichthys,2
Iperua,1
Chittypoma,4
Ophiolepidina,1
Phaeocerotaceae,1
Acrasiaceae,1
Hymerhabdiidae,1
Piskurozyma,8
Capitellulees,1
Miohebrus,2
Nereinae,1
Zieglerodina,1
Sarimanas,3
Agathemerodea,1
Adensuidae,1
Eoanseranas,2
Agriostoma,1
Gymnodorididae,1
Bohemipleura,2
Fredericqia,4
Dvinosauridae,1
Splanchotrophidae,1
Triasquilla,3
Inuyana,5
Afrothigma,2
Andreiomyces,3
Rayeria,2
Wilwerthia,1
Trochanteriidae,1
Xenoserica,11
Katoporida,1
Inaequalispora,2
Termitidiopsis,3
Foenum-graecum,5
Eulobaspis,18
Eupityrodia,1
Oxyurinae,1
Metopida,2
Laurifoliae,1
Pseudokephrion,4
Polysolothiidae,1
Kaloplocaminae,1
Gymnitinae,1
Diplocystidiaceae,1
Aplosporellaceae,1
Trierectoides,1
Lorifolia,1
Epitymbiini,1
Sphaeropsidaceae,1
Decuriasuchus,2
Bemalambdidae,1
Herbinix,3
Prouscana,1
Campthorrinus,7
Ypsolophinae,2
