a-e,1
aa,5
aaa,4
aar,1
aaron,1
aba,10
ababa,1
abaca,10
abacus,15
abaddon,4
abadia,2
abba,5
abbe,1
abbot,1
abdom,1
abdominis,3
abductor,2
abeokuta,1
aber,2
aberdare,2
aberdeen,1
aberrant,10
aberrate,1
aberrations,2
abet,1
abiathar,1
abietis,308
abigail,3
abila,2
abilene,1
abimelech,1
abita,4
ablepsia,1
abnormal,1
abo,3
abomasum,1
aborigine,1
abra,3
abracadabra,2
abraham,6
abram,1
abran,1
abraxas,9
abri,16
absalom,3
abscissa,75
abu,5
abuelo,2
abut,1
abutilon,10
abyss,1
abyssinia,4
acacia,17
acacias,1
academia,3
academiae,2
acadia,7
acadian,1
acampsia,1
acanthomas,1
acanthus,73
acapulco,4
acarus,13
accedes,1
accentor,7
accipiter,20
accra,3
accumulator,2
ace,4
acedia,1
aceite,2
acerca,3
acetabulum,77
acha,1
achaea,11
achaemenid,1
acharya,4
achates,67
ache,1
achelous,16
achernar,1
acheron,29
achilles,85
achitophel,1
achondroplasia,1
acia,5
acicula,153
aciculum,16
acidum,18
acinus,19
acis,50
acme,12
acne,1
aconcagua,7
acquisita,1
acre,69
acrobat,1
acrodactylum,2
acromion,4
acrostolium,1
acroterion,1
acta,11
actaeon,47
actinia,12
actinium,2
acton,2
actor,8
aculeate,12
aculeis,2
aculeus,37
acumen,9
acuminate,20
ada,40
adah,2
adam,4
adama,1
adams,1
adana,27
adda,4
addax,5
addendum,4
addon,1
adelaide,3
adelie,1
aden,4
adenitis,1
adeus,2
adi,4
adiana,2
adirondacks,1
aditus,5
adjacent,1
adjudicata,1
admetus,13
admiral,1
ado,1
adobe,3
adolphus,1
adonis,195
adrastus,18
adrenal,1
adria,5
adrian,2
adriane,2
adulterine,1
adumbrate,2
adventitia,11
adversaria,6
adytum,2
adze,1
aea,9
aedes,9
aegaeon,1
aegeus,30
aegina,26
aegir,2
aegis,16
aegisthus,2
aegyptus,5
aei,5
aeneas,37
aeolis,9
aeolus,39
aequi,2
aer,3
aerate,1
aerator,1
aerial,1
aero,1
aerophilia,1
aerugo,5
aes,1
aeschylus,4
aesculapius,18
aetna,3
aetolia,1
aex,3
af,1
afar,7
affectum,1
affine,1120
affines,3
afflatus,13
afghan,5
afghani,2
afo,1
africa,16
africae,10
african,3
africanum,733
africanus,1890
afrikander,1
afrikaner,1
afro,4
afu,1
aga,7
agadir,1
